1,Wine - Casablanca Valley,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,136.74,124,5/22/2023
2,The Pop Shoppe - Lime Rickey,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,290.82,73,3/22/2024
3,Wine - Muscadet Sur Lie,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,134.38,34,6/19/2023
4,"Soup - Canadian Pea, Dry Mix",morbi non quam nec dui luctus rutrum nulla tellus in sagittis,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,250.12,20,10/20/2023
5,Muffin Mix - Corn Harvest,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,278.1,197,9/14/2023
6,Chips - Potato Jalapeno,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,92.03,54,4/21/2024
7,"Turkey - Breast, Smoked",fusce posuere felis sed lacus morbi sem mauris laoreet ut,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,59.83,125,9/24/2023
8,Tea - Herbal Orange Spice,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,71.97,276,11/22/2023
9,Fruit Mix - Light,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,108.28,15,12/3/2023
10,Mudslide,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,119.44,274,9/1/2023
11,Wine - Port Late Bottled Vintage,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,153.58,246,5/14/2023
12,"7up Diet, 355 Ml",aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,241.78,194,12/13/2023
13,Sloe Gin - Mcguinness,mi nulla ac enim in tempor turpis nec euismod scelerisque,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,87.59,54,5/14/2023
14,Rice - Sushi,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,132.03,172,6/25/2023
15,"Soup - Campbells, Butternut",habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,280.98,294,1/31/2024
16,"Split Peas - Green, Dry",scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,102.92,50,8/15/2023
